No.,X(m),Y(m),高さ(m),周囲長(cm),種類
B951,3,5,6.2,0.221,シラビソ
B952,0.8,1.7,8,0.36,シラビソ
B953,1.6,0.69,7.5,0.33,シラビソ
B954,2.45,1.6,8.7,0.505,シラビソ
B955,2.8,1.6,7.7,0.32,シラビソ
B956,3.6,0.8,8.6,0.46,シラビソ
B957,3.85,1.7,7.7,0.349,シラビソ
B958,4.8,1.3,8.3,0.503,シラビソ
B959,5.3,1.5,6.1,0.247,シラビソ
B960,6.05,1.6,7.4,0.318,シラビソ
B961,7.1,0.8,7.3,0.305,シラビソ
B962,8.4,0.3,4.3,0.214,シラビソ
B963,8.4,0.3,7.7,0.318,シラビソ
B964,9.25,0.3,5.8,0.21,シラビソ
B965,9.2,1,7.4,0.309,シラビソ
B966,8.3,1.3,4.3,0.195,シラビソ
B967,8.5,1.65,8.8,0.374,シラビソ
B968,6.15,1.9,6.1,0.258,シラビソ
B969,4.5,3.2,9.3,0.547,シラビソ
B970,3.95,3,5,0.278,シラビソ
B971,2.3,2.9,7.4,0.335,シラビソ
B972,1.8,2.95,9,0.54,シラビソ
B973,4.4,5.4,7.6,0.326,シラビソ
B974,6.75,7.2,8.1,0.436,オオシラビソ
B975,7.2,3,6.9,0.33,オオシラビソ
B976,8.25,2.7,7.2,0.335,シラビソ
B977,9.9,2.7,5.8,0.257,ナナカマド
B978,9.7,2.4,7.2,0.3,シラビソ
B979,7.7,4.8,9.47,0.429,シラビソ
B980,6.9,5.4,9.8,0.25,シラビソ
B981,7,6.2,9,0.442,シラビソ
B982,4.3,6.8,7.9,0.382,シラビソ
B983,3.4,6.4,7.15,0.242,シラビソ
B984,2.9,6.45,9.07,0.45,シラビソ
B985,2,6.8,6.47,0.254,シラビソ
B986,1.8,6.5,7.45,0.306,ナナカマド
B987,1.5,7.3,5.91,0.125,ナナカマド
B988,2.3,7.4,8.34,0.31,シラビソ
B989,0.9,7.2,8.96,0.347,シラビソ
B990,1.8,9.56,9.06,0.453,シラビソ
B991,1.7,8.09,7.92,0.325,シラビソ
B992,2.6,7.78,8.05,0.43,シラビソ
B993,4,7.9,7.73,0.3,シラビソ
B994,2.6,8.26,6.97,0.25,シラビソ
B995,4.4,8.48,8.96,0.4,シラビソ
B996,7.3,7.35,7.66,0.414,シラビソ
B997,7.3,8.45,8.35,0.545,シラビソ
B998,9,8.14,9.38,0.382,シラビソ
B999,9.5,7.38,8,0.233,シラビソ
B1000,9.8,5.31,8.25,0.228,シラビソ
B1001,9.99,6.98,8.23,0.174,シラビソ
B1002,8.7,5.34,7.41,0.273,シラビソ